max_depth,min_samples_leaf,MAE_train,RMSE_train,MAE_test,RMSE_test
3,10,319.09719378453116,425.1349857781127,322.8479991369151,408.56925140613043
3,20,319.97097771027694,425.5987843713551,324.11946150807404,409.8958323074666
5,20,256.8678812578386,355.59100498626464,325.3344046595084,411.0597713442221
6,30,276.5452977954998,377.8032306114189,340.2115472326677,414.1200907785951
4,20,281.3893966604552,382.2727822208393,322.0916857833255,414.4058264676133
4,10,285.55736216171977,379.9947787650566,321.8064075349339,418.9829856960327
3,30,322.5167693179816,427.07475197393313,338.8197670840531,424.46486363729196
5,30,279.04194720113196,382.93194437341344,347.30786100649556,425.72415099066257
4,30,290.60504906453735,401.6732640543474,343.76398664543007,431.28345293524296
6,20,245.84624409227436,334.8330887285835,349.7200498877961,440.6463814600817
6,10,212.65012420214148,297.7728434898686,334.6185200727198,465.0024876374465
5,10,237.13309678884687,326.1971213523016,349.432096246178,476.4062707288223
